;Unnamed: 0.1;Unnamed: 0;geometry;height;altitude;center_x;center_y;center_z;area;type;building_id;azimuth;floor_count;adjacency_usage;conventional_heating_set_point;actual_heating_set_point;mask_0;mask_1;mask_2;mask_3;mask_4;mask_5;mask_6;mask_7;mask_8;mask_9;mask_10;mask_11;mask_12;mask_13;mask_14;mask_15;mask_16;mask_17;mask_18;mask_19;mask_20;mask_21;mask_22;mask_23;mask_24;mask_25;mask_26;mask_27;mask_28;mask_29;mask_30;mask_31;mask_32;mask_33;mask_34;mask_35;mask_36;u_value;window_u_value;window_solar_factor;window_share;transmitted_solar_gain;window_area;opaque_area;unified_degree_hours;conventional_unified_degree_hours;actual_unified_degree_hours;maximal_temperature_difference;thermal_bridge_loss_factor;adjacency_factor;loss_factor;annual_thermal_losses;conventional_thermal_losses;peak_thermal_losses
0;0;24172;LINESTRING (416968.7 6819964.9, 416959.4 6819961.5);5.0;164.4;416964.0500000001;6819963.2;166.9;49.510099980286014;0;2842;339.91802251377163;2.0;;19.0;20.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;0.0;17.867990524559463;12.6588774610922;11.670178338464448;11.97992558611747;9.002656095853094;9.229203009663255;12.09173813398737;16.907944192508143;20.36271511151637;0.0;24.14647963233556;0.0;0.2;1.6;0.44;0.16;6.1291335947701;7.921615996845762;41.588483983440256;0.0;61830.28827025572;67285.42496043068;27.793070794078066;2.9706059988171605;1.0;28.08212870881823;2089.3964509867624;1919.9995385528712;863.0508540790354
1;1;24173;LINESTRING (416959.4 6819961.5, 416963.5 6819950.5);5.0;164.4;416961.45;6819956.0;166.9;58.6962520097768;0;2842;249.55820344168995;2.0;;19.0;20.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;0.0;0.0;2.7753023066884057;2.8170676320247408;0.0;0.0;7.360965500522466;7.44086345960033;7.436675113145675;0.0;0.0;1.3029391905205507;1.3497152610144267;1.492591907721134;87.01473399537329;21.86594317092964;12.7260977823123;19.264886631812097;90.0;90.0;90.0;90.0;0.2;1.6;0.44;0.16;443.5023993272782;9.391400321564287;49.30485168821251;0.0;61830.28827025572;67285.42496043068;27.793070794078066;3.521775120586608;1.0;33.2925141399454;2477.065097511116;2276.238117443274;1023.182147651634
2;2;24174;LINESTRING (416963.5 6819950.5, 416968 6819952.1);5.0;164.4;416965.75;6819951.3;166.9;23.879907871895103;0;2842;160.42687417380066;2.0;;19.0;20.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;11.854819594614249;10.920244212333476;11.531749514139216;11.914870668832917;11.98816487775868;17.08528312657118;21.80278656930806;29.233278005403392;0.0;40.03708554968833;2.609735836008256;2.305841202815176;81.17828321935501;7.153226369244167;7.497176138703123;7.559915574764148;0.0;0.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;0.2;1.6;0.44;0.16;265.3223318412193;3.820785259503217;20.059122612391885;0.0;61830.28827025572;67285.42496043068;27.793070794078066;1.432794472313706;1.0;13.544683744938904;1007.7659866834356;926.0617957342046;416.2701124088639
3;3;24175;LINESTRING (416968 6819952.1, 416969.8 6819947.6);5.0;164.4;416968.9;6819949.85;166.9;24.23324163208365;0;2842;248.198590513776;2.0;;19.0;20.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;33.65328272327118;2.31612512457329;24.68564183877763;0.0;6.376422257062936;6.859608828988042;7.214260678483555;5.673064397512658;0.0;0.0;0.0;1.353032282791842;1.467559520577513;1.5225092856586302;57.76158589192912;0.0;0.0;0.0;90.0;90.0;90.0;90.0;0.2;1.6;0.44;0.16;187.4536550719001;3.877318661133384;20.355922970950267;0.0;61830.28827025572;67285.42496043068;27.793070794078066;1.453994497925019;1.0;13.745094653717848;1022.677172579762;939.7640636913948;422.4293607971141
4;4;24176;LINESTRING (416969.8 6819947.6, 416974.6 6819949.5);5.0;164.4;416972.2;6819948.55;166.9;25.81181899891204;0;2842;158.40468954714038;2.0;;19.0;20.0;90.0;90.0;90.0;90.0;90.0;90.0;0.0;27.588481634296244;20.86817243997009;16.512359227999273;9.941084114306948;8.543193743647333;8.385202796330445;24.446630927627904;22.866682672518625;33.001000490856775;15.663459408161252;2.3472556888718943;42.59315644676631;6.091340046783757;76.91274791560755;6.80048926046661;0.0;0.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;0.2;1.6;0.44;0.16;250.5629251543857;4.129891039825926;21.68192795908611;0.0;61830.28827025572;67285.42496043068;27.793070794078066;1.548709139934722;1.0;14.640463736182909;1089.2953767274528;1000.981225787358;449.9468278435057
5;5;24177;LINESTRING (416974.6 6819949.5, 416968.7 6819964.9);5.0;164.4;416971.65;6819957.2;166.9;82.45756484566193;0;2842;69.03732016401213;2.0;;19.0;20.0;1.2428204219343897;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6785372109812166;0.6733121789552768;0.0;54.94276055308982;16.362829081032338;15.171120396602014;13.678744463709547;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;0.0;1.2147831936679787;0.0;0.2;1.6;0.44;0.16;216.33258520966285;13.19321037530591;69.26435447035603;0.0;61830.28827025572;67285.42496043068;27.793070794078066;4.947453890739716;1.0;46.76993078045945;3479.8262054437;3197.7008028039486;1437.3849334512058
6;6;32647;POLYGON ((416968.7 6819964.9, 416959.4 6819961.5, 416963.5 6819950.5, 416968 6819952.1, 416969.8 6819947.6, 416974.6 6819949.5, 416968.7 6819964.9));0.0;169.4;416967.042573816;6819956.47701028;169.4;142.02000000494996;2;2842;0.0;0.0;;19.0;20.0;1.1321571106973547;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4043570362584785;0.394898699643106;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1843552734544615;0.1894854640057345;0.0;2.4348640375303687;2.5399691179267374;2.5828449672586307;0.0;0.0;0.0;0.9301821773834924;1.0599094770080022;1.1155813713757556;0.0;0.0;0.0;0.0;0.0;0.0;1.1065479317838802;0.0;0.14;0.0;0.0;0.0;0.0;0.0;142.02000000494996;0.0;61830.28827025572;67285.42496043068;0.0;10.583555413544625;1.0;24.143400000841496;2336.617952638899;2147.177664019812;0.0
7;7;32648;POLYGON ((416968.7 6819964.9, 416959.4 6819961.5, 416963.5 6819950.5, 416968 6819952.1, 416969.8 6819947.6, 416974.6 6819949.5, 416968.7 6819964.9));0.0;164.4;416967.042573816;6819956.47701028;164.4;142.02000000494996;3;2842;0.0;0.0;;19.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;142.02000000494996;0.0;42182.11010327796;47702.11010327796;11.259762507590317;15.875333120316933;1.0;52.54740000183149;3263.908748959927;2886.215262125668;770.4237250756247
